"","occ2010","occ2018","xwalk_wt_fnl"
"254",3420,3421,0.166666666666667
"255",3420,3422,0.166666666666667
"256",3420,3423,0.166666666666667
"257",3420,3424,0.166666666666667
"258",3420,3430,0.166666666666667
"259",3500,3500,1
"260",3510,3515,1
"261",3520,3520,1
"262",3535,3545,1
"263",3540,3545,0.333333333333333
"264",3540,3550,0.661020391723185
"265",3540,1980,0.338979608276815
"266",3600,1980,0.25
"267",3600,3601,0.326397453224551
"268",3600,3603,0.646442248909019
"269",3600,3605,0.0271602978664301
"270",3610,3610,1
"271",3620,3620,1
"272",3630,3630,1
"273",3640,3640,1
"274",3645,3645,1
"275",3646,3646,1
"276",3647,3647,1
"277",3648,3648,1
"278",3649,3649,1
"279",3655,3655,1
"280",3700,3700,1
"281",3710,3710,1
"282",3720,3720,1
"283",3730,3720,0.333333333333333
"284",3730,3725,1
"285",3730,3735,0.333333333333333
"286",3740,3740,1
"287",3750,3750,1
"288",3800,3750,0.333333333333333
"289",3800,3801,0.0555541008457126
"290",3800,3802,0.944445899154287
"291",3820,3820,0.166081873893661
"292",3830,3830,1
"293",3840,3840,0.5
"294",3840,3870,0.5
"295",3850,3870,1
"296",3860,3870,1
"297",3900,3900,1
"298",3910,3910,1
"299",3930,3930,1
"300",3940,3940,1
"301",3945,3945,1
"302",3955,3945,0.333333333333333
"303",3955,3946,0.333333333333333
"304",3955,3960,0.333333333333333
"305",4000,4000,0.184040109551024
"306",4010,4010,1
"307",4020,4020,1
"308",4030,4030,1
"309",4040,4040,1
"310",4040,4055,0.5
"311",4050,4055,1
"312",4060,4055,1
"313",4110,4110,1
"314",4120,4120,1
"315",4130,4130,0.982873839079175
"316",4140,4140,1
"317",4150,4150,1
"318",4160,4160,1
"319",4200,4200,1
"320",4210,4210,1
"321",4220,4220,1
"322",4230,4230,1
"323",4240,4240,1
"324",4250,4240,0.2
"325",4250,4251,0.908018492122337
"326",4250,4252,0.0700817024751464
"327",4250,4255,0.0218998054025162
"328",4250,4330,0.2
