"","census_2018","estz_total_sim","estz_core_sim","estz_supplemental_sim","estz_total_quint_sim","estz_core_quint_sim","estz_supplemental_quint_sim","estz_total_admin","estz_core_admin","estz_supplemental_admin","estz_total_quint_admin","estz_core_quint_admin","estz_supplemental_quint_admin"
"186","2825",0.0269706003336423,0.0237341286975169,0.083333336,5,5,4,0.69444442,0.6111111,0.083333336,5,5,5
"187","2830",0.0223722223034165,0.0149148152169567,0.21428572,5,5,5,0.64285713,0.42857143,0.21428572,5,5,5
"188","2840",0.0234098261350547,0.0234098261350547,0,5,5,1,0.63333333,0.63333333,0,5,5,1
"189","2850",0.0270585670023983,0.0223035060419184,0.13124999,5,5,5,0.74687499,0.61562502,0.13124999,5,5,5
"190","2861",0.0265366015127386,0.0132683007563693,0.41176471,5,4,5,0.82352942,0.41176471,0.41176471,5,5,5
"191","2862",0.0179693158535743,0.012835226071764,0.14285715,5,4,5,0.5,0.35714287,0.14285715,5,4,5
"192","2865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","2905",NA,NA,NA,NA,NA,NA,0.13485222,0.052647785,0.08220443175,3,2,4
"194","2910",0.00118707293873474,0,0.05172414,2,1,4,0.05172414,0,0.05172414,2,1,4
"195","2920",0.0031943348955105,0.00136989150682662,0.064311596,2,2,4,0.0538949285,0.021739131,0.032155798,2,1,4
"196","2970",NA,NA,NA,NA,NA,NA,0,0,0,1,1,1
"197","3000",0.00220498520779438,0.00220498520779438,0,2,2,1,0.090909094,0.090909094,0,2,2,1
"198","3010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","3030",0.0102917675358437,0.00643235443974341,0.10714286,4,3,4,0.2857143,0.17857143,0.10714286,4,3,5
"200","3040",0,0,0,1,1,1,0,0,0,1,1,1
"201","3050",0.00596540694715644,0.00463976092796771,0.047619049,3,3,4,0.21428572,0.16666667,0.047619049,3,3,4
"202","3065",0.00552248636979234,0.00515331298047121,0.013962391,3,3,3,0.20886436,0.19490196,0.013962391,3,3,3
"203","3070",0.00552248636979234,0.00515331298047121,0.013962391,3,3,3,0.20886436,0.19490196,0.013962391,3,3,3
"204","3090",0.105755312382282,0.0964905593692381,0.32272689,5,5,5,0.18904684505,0.1729104966,0.0161363445,3,3,3
"205","3100",0.0151183909388624,0.0147492175495412,0.013962391,4,5,3,0.1494155425,0.1459249425,0.00349059775,3,3,3
"206","3110",0.00171230160725589,0.00171230160725589,0,2,2,1,0.072916672,0.072916672,0,2,2,1
