"","census_2018","AIOE_sim","AIOE_quint_sim","AIOE_admin","AIOE_quint_admin","AIOE_wgt","AIOE_quint_wgt"
"474","8225",-0.474952356860004,1,-0.9655829,2,-0.0611019130395571,2
"475","8250",0.0117615010407458,3,0.4107973,3,0.332096863834586,4
"476","8255",-0.0162781334081017,2,-0.7093881,2,-0.00265903607303126,2
"477","8256",-0.0187558647346721,2,-0.9062089,2,-0.0540406136004539,2
"478","8300",-0.0260830505135538,2,-1.054399,1,-0.156963854400786,1
"479","8310",-0.0602591196629213,1,-1.950063,1,-0.474073768059514,1
"480","8320",-0.0254409557446876,2,-0.9639661,2,-0.0743168673348828,1
"481","8335",-0.0504935832119467,1,-1.0103835,1,-0.136561932994489,1
"482","8350",-0.0290676193916591,1,-0.5146243,2,0.0498465452321117,2
"483","8365",-0.105562037044121,1,-1.1296178,1,-0.107039288447336,1
"484","8450",-0.0288080058754359,1,-1.313735,1,-0.116894798317331,1
"485","8465",-0.0477786375863185,1,-0.752179033333333,2,0.00553781032340174,2
"486","8500",-0.0286484830710532,1,-1.327489,1,-0.12370007540596,1
"487","8510",-0.0274254628600992,1,-1.197727,1,-0.118905077065021,1
"488","8530",-0.0270073888355244,1,-1.165031,1,-0.138782049470456,1
"489","8540",-0.025199394436454,2,-1.130357,1,-0.117494321637362,1
"490","8555",-0.143407397303855,1,-1.10106465,1,-0.0866948104737713,1
"491","8600",0.020860162795108,4,0.307824566666667,3,0.182788400491243,3
"492","8610",-0.0107263219337134,2,-0.5032496,2,0.0611043179875443,2
"493","8620",-0.00921308926324034,3,-0.44501,2,0.0806669678567971,2
"494","8630",-0.0354492420316886,1,-0.430402775,2,0.0873539645840817,3
"495","8640",-0.0299748614518219,1,-0.72471755,2,0.00985316512882712,2
"496","8650",-0.0642818855865707,1,-1.00322133333333,1,-0.0641499061682263,1
"497","8710",-0.0451607845473292,1,-1.01363295,1,-0.0950452053218253,1
"498","8720",-0.023070984836818,2,-1.042151,1,-0.0780556119595874,1
"499","8730",-0.0211476822338106,2,-0.9582346,2,-0.0674210025928843,1
"500","8740",-0.000630891593924758,3,-0.0293395,3,0.05676694600492,2
"501","8750",-0.00447458529618285,3,-0.1560197,3,0.226522445378636,3
"502","8760",-0.0265737898690241,2,-0.363436366666667,2,0.120179594119344,3
"503","8800",-0.0209658669659521,2,-0.978608,1,-0.0596044536269351,2
"504","8810",-0.0805143820381768,1,-1.17981423333333,1,-0.108561836256047,1
"505","8830",-0.00843022894610034,3,-0.3615806,3,0.0978575990451044,3
"506","8850",-0.0282036044823322,1,-1.311418,1,-0.126617085873611,1
"507","8865",-0.225797074581611,1,-1.15821736666667,1,-0.107151128956142,1
"508","8910",-0.0146019799136869,2,-0.6395226,2,0.0166267017683399,2
"509","8920",-0.026036536460533,2,-1.183408,1,-0.107504505524895,1
"510","8930",-0.0190894395610663,2,-0.8740445,2,-0.0475109276759631,2
"511","8940",-0.0380575843804908,1,-1.610915,1,-0.227408431561323,1
"512","8950",-0.0312582578553162,1,-1.411304,1,-0.171172659993586,1
"513","8990",-0.412480117302264,1,-1.0116144,1,-0.0594412505892631,2
"514","9005",0.00665808220169657,3,0.0461706666666667,3,0.161793137416661,3
"515","9030",-0.00839583736541999,3,-0.1943979,3,0.182253632730161,3
"516","9040",0.041331226286409,4,0.8186859,4,0.437677915301884,4
"517","9050",-0.0185392416162895,2,-0.7621183,2,0.0213768102193919,2
"518","9110",-0.0173517289137253,2,-0.8298703,2,0.00817130632444285,2
"519","9121",NA,NA,-0.2977046,3,NA,NA
"520","9122",-0.0138292605224626,2,-0.605453,2,0.0378890795747417,2
"521","9130",-0.0633660037095399,1,-0.999622233333333,1,-0.0746622116601726,1
"522","9141",NA,NA,-0.46498245,2,NA,NA
"523","9142",NA,NA,-0.6322603,2,NA,NA
"524","9210",-0.0282641378330713,1,-0.6649155,2,0.0645490900446865,2
"525","9240",-0.00968379106154068,3,-0.4662731,2,0.0952570589451023,3
"526","9265",-0.0926493191443553,1,-0.733394166666667,2,0.0538077147571429,2
"527","9300",-0.0244057498794196,2,-1.150001,1,-0.0513447173569199,2
"528","9310",-0.0279003575822177,1,-0.6576527,2,0.067364221503623,2
"529","9330",-0.0108803201125265,2,-0.5264951,2,0.0703704094739628,2
"530","9350",-0.0177224139127511,2,-0.8353891,2,-0.0560654392116433,2
"531","9365",-0.026002901088962,2,-1.221489,1,-0.0923136389500864,1
"532","9410",-0.00387821605129105,3,-0.18376,3,0.144200184609223,3
"533","9415",-0.00817889320694161,3,-0.3752249,2,0.0608389848220154,2
"534","9430",-0.0574017406507124,1,-0.474748616666667,2,0.0774848042928235,2
"535","9510",-0.0229222001756947,2,-1.030619,1,-0.0328992291824041,2
"536","9570",-0.33401624009044,1,-1.12620497142857,1,-0.0953658012405432,1
"537","9600",-0.0320012750587531,1,-1.39869,1,-0.171887255028439,1
"538","9610",-0.0423310555218528,1,-1.629897,1,-0.321348552715728,1
"539","9620",-0.0371487865488219,1,-1.709183,1,-0.174533114853396,1
"540","9630",-0.0240663512532614,2,-1.037413,1,-0.118003455383754,1
"541","9640",-0.0348560846117542,1,-1.51362,1,-0.258896342663269,1
"542","9645",-0.0176014026282375,2,-0.7892948,2,-0.101803868362446,1
"543","9650",-0.054345446891444,1,-0.874829633333333,2,-0.0232228173038654,2
"544","9720",-0.0280500558786952,1,-1.283373,1,-0.13576091710072,1
"545","9760",-0.054108859556908,1,-1.266058,1,-0.104925301999096,1
"546",NA,NA,NA,0.752081,4,NA,NA
"547","3245",NA,NA,NA,NA,0.303177968254765,4
